dataset_id,isolate_id,antibiotic,prediction,sequence_support,marker_summary,callable,basic_qc_status,phenotype,phenotype_quality,phenotype_recomputed,mic_raw,mic_numeric,mic_operator,borderline_mic,ast_method,medium,breakpoint_standard,breakpoint_version,near_clone_group,lineage_recomputed,country,bootstrap_unit,analysis_status,correct,development_5nn_distance,development_5nn_percentile,outcome,error
CHINA_NINGXIA_2022,SHZY01,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,S,A_mic_public_exact_link,S,0.125,0.125,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0001,SNP_CLUSTER_03,China,NCG0001,PRIMARY,yes,0.11489099204591505,0.01932367149758454,TN,False
CHINA_NINGXIA_2022,SHZY02,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,R,A_mic_public_exact_link,R,4,4,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0002,SNP_CLUSTER_03,China,NCG0002,PRIMARY,no,0.16034743849515704,0.10144927536231885,FN,True
CHINA_NINGXIA_2022,SHZY03,clarithromycin,S,ASSEMBLY_ONLY,,yes,PASS,S,A_mic_public_exact_link,I,0.5,0.5,=,yes,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0003,SNP_CLUSTER_03,China,NCG0003,PRIMARY,yes,0.1674661731705328,0.10628019323671498,TN,False
CHINA_NINGXIA_2022,SHZY03,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,S,A_mic_public_exact_link,S,0.25,0.25,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0003,SNP_CLUSTER_03,China,NCG0003,PRIMARY,yes,0.1674661731705328,0.10628019323671498,TN,False
CHINA_NINGXIA_2022,SHZY04,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,R,A_mic_public_exact_link,R,8,8,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0004,SNP_CLUSTER_03,China,NCG0004,PRIMARY,no,0.10594941617903837,0.007246376811594203,FN,True
CHINA_NINGXIA_2022,SHZY05,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,R,A_mic_public_exact_link,R,16,16,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0005,SNP_CLUSTER_03,China,NCG0005,PRIMARY,no,0.14404529932670562,0.0748792270531401,FN,True
CHINA_NINGXIA_2022,SHZY06,levofloxacin,R,ASSEMBLY_ONLY,N87K,yes,PASS,S,A_mic_public_exact_link,S,0.5,0.5,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0006,SNP_CLUSTER_03,China,NCG0006,PRIMARY,no,0.10648542187591388,0.007246376811594203,FP,True
CHINA_NINGXIA_2022,SHZY07,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,R,A_mic_public_exact_link,R,16,16,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0007,SNP_CLUSTER_03,China,NCG0007,PRIMARY,no,0.1276394095810669,0.03864734299516908,FN,True
CHINA_NINGXIA_2022,SHZY08,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,R,A_mic_public_exact_link,R,>32,32,>,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0008,SNP_CLUSTER_01,China,NCG0008,PRIMARY,no,1.0467213711290706,0.9009661835748792,FN,True
CHINA_NINGXIA_2022,SHZY09,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,S,A_mic_public_exact_link,S,0.25,0.25,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0009,SNP_CLUSTER_03,China,NCG0009,PRIMARY,yes,0.08679900221940158,0.0,TN,False
CHINA_NINGXIA_2022,SHZY10,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,S,A_mic_public_exact_link,S,0.125,0.125,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0010,SNP_CLUSTER_03,China,NCG0010,PRIMARY,yes,0.44254010240469216,0.5628019323671497,TN,False
CHINA_NINGXIA_2022,SHZY11,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,S,A_mic_public_exact_link,S,0.008,0.008,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0011,SNP_CLUSTER_03,China,NCG0011,PRIMARY,yes,0.16797483728066778,0.10628019323671498,TN,False
CHINA_NINGXIA_2022,SHZY12,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,R,A_mic_public_exact_link,R,2,2,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0012,SNP_CLUSTER_03,China,NCG0012,PRIMARY,no,0.11235622507230125,0.014492753623188406,FN,True
CHINA_NINGXIA_2022,SHZY13,levofloxacin,R,ASSEMBLY_ONLY,N87K,yes,PASS,R,A_mic_public_exact_link,R,>32,32,>,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0013,SNP_CLUSTER_03,China,NCG0013,PRIMARY,yes,0.1431900766448181,0.0748792270531401,TP,False
CHINA_NINGXIA_2022,SHZY14,levofloxacin,S,ASSEMBLY_ONLY,,yes,PASS,S,A_mic_public_exact_link,S,0.008,0.008,=,no,Etest (BIO-KONT),Mueller-Hinton blood agar,EUCAST,publication says EUCAST but does not state version,NCG0014,SNP_CLUSTER_03,China,NCG0014,PRIMARY,yes,0.11670329757886029,0.021739130434782608,TN,False
