dataset_id,isolate_id,processing_status,assembly_path,error
ZENODO_10369064,S01,already_complete,data/assemblies/ZENODO_10369064/S01.fna,
ZENODO_10369064,S03,already_complete,data/assemblies/ZENODO_10369064/S03.fna,
ZENODO_10369064,S04,already_complete,data/assemblies/ZENODO_10369064/S04.fna,
ZENODO_10369064,S05,already_complete,data/assemblies/ZENODO_10369064/S05.fna,
ZENODO_10369064,S06,already_complete,data/assemblies/ZENODO_10369064/S06.fna,
ZENODO_10369064,S07,already_complete,data/assemblies/ZENODO_10369064/S07.fna,
ZENODO_10369064,S08,already_complete,data/assemblies/ZENODO_10369064/S08.fna,
ZENODO_10369064,S09,already_complete,data/assemblies/ZENODO_10369064/S09.fna,
ZENODO_10369064,S10,already_complete,data/assemblies/ZENODO_10369064/S10.fna,
ZENODO_10369064,S11,already_complete,data/assemblies/ZENODO_10369064/S11.fna,
ZENODO_10369064,S12,already_complete,data/assemblies/ZENODO_10369064/S12.fna,
ZENODO_10369064,S13,already_complete,data/assemblies/ZENODO_10369064/S13.fna,
ZENODO_10369064,S14,already_complete,data/assemblies/ZENODO_10369064/S14.fna,
ZENODO_10369064,S15,already_complete,data/assemblies/ZENODO_10369064/S15.fna,
ZENODO_10369064,S16,already_complete,data/assemblies/ZENODO_10369064/S16.fna,
ZENODO_10369064,S17,already_complete,data/assemblies/ZENODO_10369064/S17.fna,
ZENODO_10369064,S18,already_complete,data/assemblies/ZENODO_10369064/S18.fna,
ZENODO_10369064,S19,already_complete,data/assemblies/ZENODO_10369064/S19.fna,
ZENODO_10369064,S20,already_complete,data/assemblies/ZENODO_10369064/S20.fna,
ZENODO_10369064,S21,already_complete,data/assemblies/ZENODO_10369064/S21.fna,
ZENODO_10369064,S23,already_complete,data/assemblies/ZENODO_10369064/S23.fna,
ZENODO_10369064,S24,already_complete,data/assemblies/ZENODO_10369064/S24.fna,
ZENODO_10369064,S25,already_complete,data/assemblies/ZENODO_10369064/S25.fna,
ZENODO_10369064,S26,already_complete,data/assemblies/ZENODO_10369064/S26.fna,
ZENODO_10369064,S27,already_complete,data/assemblies/ZENODO_10369064/S27.fna,
ZENODO_10369064,S28,already_complete,data/assemblies/ZENODO_10369064/S28.fna,
ZENODO_10369064,S29,already_complete,data/assemblies/ZENODO_10369064/S29.fna,
ZENODO_10369064,S30,already_complete,data/assemblies/ZENODO_10369064/S30.fna,
ZENODO_10369064,S31,already_complete,data/assemblies/ZENODO_10369064/S31.fna,
ZENODO_10369064,S32,already_complete,data/assemblies/ZENODO_10369064/S32.fna,
ZENODO_10369064,S33,already_complete,data/assemblies/ZENODO_10369064/S33.fna,
ZENODO_10369064,S34,already_complete,data/assemblies/ZENODO_10369064/S34.fna,
ZENODO_10369064,S35,already_complete,data/assemblies/ZENODO_10369064/S35.fna,
ZENODO_10369064,S36,already_complete,data/assemblies/ZENODO_10369064/S36.fna,
ZENODO_10369064,S37,already_complete,data/assemblies/ZENODO_10369064/S37.fna,
ZENODO_10369064,S39,already_complete,data/assemblies/ZENODO_10369064/S39.fna,
ZENODO_10369064,S41,already_complete,data/assemblies/ZENODO_10369064/S41.fna,
ZENODO_10369064,S42,already_complete,data/assemblies/ZENODO_10369064/S42.fna,
ZENODO_10369064,S43,already_complete,data/assemblies/ZENODO_10369064/S43.fna,
ZENODO_10369064,S45,already_complete,data/assemblies/ZENODO_10369064/S45.fna,
ZENODO_10369064,S46,already_complete,data/assemblies/ZENODO_10369064/S46.fna,
ZENODO_10369064,S47,already_complete,data/assemblies/ZENODO_10369064/S47.fna,
ZENODO_10369064,S48,already_complete,data/assemblies/ZENODO_10369064/S48.fna,
ZENODO_10369064,S49,already_complete,data/assemblies/ZENODO_10369064/S49.fna,
ZENODO_10369064,S50,already_complete,data/assemblies/ZENODO_10369064/S50.fna,
ZENODO_10369064,S52,already_complete,data/assemblies/ZENODO_10369064/S52.fna,
ZENODO_10369064,S54,already_complete,data/assemblies/ZENODO_10369064/S54.fna,
ZENODO_10369064,S55,already_complete,data/assemblies/ZENODO_10369064/S55.fna,
ZENODO_10369064,S56,PASS,data/assemblies/ZENODO_10369064/S56.fna,
ZENODO_10369064,S57,already_complete,data/assemblies/ZENODO_10369064/S57.fna,
ZENODO_10369064,S58,already_complete,data/assemblies/ZENODO_10369064/S58.fna,
ZENODO_10369064,S64,already_complete,data/assemblies/ZENODO_10369064/S64.fna,
