dataset_id,isolate_id,sequence_type,accession,source_url,local_path,expected_bytes,expected_checksum_type,expected_checksum,bytes,sha256,md5,validation_status,acquisition_status,accessed_at,error
CHINA_NINGXIA_2022,SHZY01,assembly,GCA_021063165.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/063/165/GCA_021063165.1_ASM2106316v1/GCA_021063165.1_ASM2106316v1_genomic.fna.gz,data/raw/assemblies/CHINA_NINGXIA_2022/SHZY01.fna.gz,,,,450351,140c856c1b94100465c53e94686e7c3bda92cd85998e4f09ef01fc8eb1d31c8d,a2df2f0d670ad197e160d76300a590a2,PASS,downloaded,2026-08-30T09:57:10+00:00,
CHINA_NINGXIA_2022,SHZY02,assembly,GCA_021063185.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/063/185/GCA_021063185.1_ASM2106318v1/GCA_021063185.1_ASM2106318v1_genomic.fna.gz,data/raw/assemblies/CHINA_NINGXIA_2022/SHZY02.fna.gz,,,,455085,b54539ec76ed890f4c250928c2666efb7056966b9f72eb20a63dab6faa7625db,e1e6fcb1492b87c884f0d0ff0de0a406,PASS,downloaded,2026-08-30T09:57:12+00:00,
CHINA_NINGXIA_2022,SHZY03,assembly,GCA_021063205.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/063/205/GCA_021063205.1_ASM2106320v1/GCA_021063205.1_ASM2106320v1_genomic.fna.gz,data/raw/assemblies/CHINA_NINGXIA_2022/SHZY03.fna.gz,,,,462566,b7fe6df93745707d075254d7fd624bced8b0b40b69cf0e81ac3c7006a54e9978,c8541a8101432ee32df72f80acd7407a,PASS,downloaded,2026-08-30T09:57:12+00:00,
CHINA_NINGXIA_2022,SHZY04,assembly,GCA_021063145.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/063/145/GCA_021063145.1_ASM2106314v1/GCA_021063145.1_ASM2106314v1_genomic.fna.gz,data/raw/assemblies/CHINA_NINGXIA_2022/SHZY04.fna.gz,,,,444886,b5464ddd8995806ecf029dcd3943c2be0d0b09e6c9f3de4ac70281ec051e458d,44e0f25e3bbf9b50a12971623a056c7b,PASS,downloaded,2026-08-30T09:57:23+00:00,
CHINA_NINGXIA_2022,SHZY05,assembly,GCA_021063065.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/063/065/GCA_021063065.1_ASM2106306v1/GCA_021063065.1_ASM2106306v1_genomic.fna.gz,data/raw/assemblies/CHINA_NINGXIA_2022/SHZY05.fna.gz,,,,455674,3f2fc3d5c1dd0206bf624d590c836db0123f5a79a5de70dd71b5577647414e0c,b945ea7f7b7692bd48c1f4b613fe3297,PASS,downloaded,2026-08-30T09:57:29+00:00,
CHINA_NINGXIA_2022,SHZY06,assembly,GCA_021063045.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/063/045/GCA_021063045.1_ASM2106304v1/GCA_021063045.1_ASM2106304v1_genomic.fna.gz,data/raw/assemblies/CHINA_NINGXIA_2022/SHZY06.fna.gz,,,,447961,3a22acca77bceb30b75efd2b14ab2bf570916c81c00f37c972a2e97af3d18a1b,8e311ab686ab59f435c7c004b780034c,PASS,downloaded,2026-08-30T09:57:39+00:00,
CHINA_NINGXIA_2022,SHZY07,assembly,GCA_021063075.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/063/075/GCA_021063075.1_ASM2106307v1/GCA_021063075.1_ASM2106307v1_genomic.fna.gz,data/raw/assemblies/CHINA_NINGXIA_2022/SHZY07.fna.gz,,,,476044,f85ae7514c150bcd8ab1b5671a7679f93f229cb31232e1125da19463d329ae6d,ea0db1b3781196ecc7db9f6b63be048f,PASS,downloaded,2026-08-30T09:57:38+00:00,
CHINA_NINGXIA_2022,SHZY08,assembly,GCA_021063105.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/063/105/GCA_021063105.1_ASM2106310v1/GCA_021063105.1_ASM2106310v1_genomic.fna.gz,data/raw/assemblies/CHINA_NINGXIA_2022/SHZY08.fna.gz,,,,518283,a91e4147d669bc645bd6d54b6d892c683c92d8eec3fcaa13ad802a7ae5e3ee84,b49ff82d6090c3ccaf68604848a6118d,PASS,downloaded,2026-08-30T09:57:53+00:00,
CHINA_NINGXIA_2022,SHZY09,assembly,GCA_021063005.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/063/005/GCA_021063005.1_ASM2106300v1/GCA_021063005.1_ASM2106300v1_genomic.fna.gz,data/raw/assemblies/CHINA_NINGXIA_2022/SHZY09.fna.gz,,,,485411,dd9e9dddbab35ab3fd832e884bd3ea486a5db0eb42e547baec3d703745a14719,2a65ff346693c3752e0a5035c47691fc,PASS,downloaded,2026-08-30T09:57:58+00:00,
CHINA_NINGXIA_2022,SHZY10,assembly,GCA_021062955.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/062/955/GCA_021062955.1_ASM2106295v1/GCA_021062955.1_ASM2106295v1_genomic.fna.gz,data/raw/assemblies/CHINA_NINGXIA_2022/SHZY10.fna.gz,,,,461444,356db24616a740103dffa08555c0092e15007d28ee36f54a70bfbf60578d7947,9a8447ab7f034db6c8b5b378a835c081,PASS,downloaded,2026-08-30T09:58:07+00:00,
CHINA_NINGXIA_2022,SHZY11,assembly,GCA_021062825.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/062/825/GCA_021062825.1_ASM2106282v1/GCA_021062825.1_ASM2106282v1_genomic.fna.gz,data/raw/assemblies/CHINA_NINGXIA_2022/SHZY11.fna.gz,,,,464524,c8e54f8930b985aef814dc43844548b245c2ef86b0ab9b832dd5ef6d161fcf68,46379c37f9129859350e80cf367bb3b4,PASS,downloaded,2026-08-30T09:58:14+00:00,
CHINA_NINGXIA_2022,SHZY12,assembly,GCA_021062895.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/062/895/GCA_021062895.1_ASM2106289v1/GCA_021062895.1_ASM2106289v1_genomic.fna.gz,data/raw/assemblies/CHINA_NINGXIA_2022/SHZY12.fna.gz,,,,459951,32d28292ba72bc3b74692777c4788d2c894120bd5b8fb653925673faf8fce3d7,129bafa53591ed60fd864a37d941d68c,PASS,downloaded,2026-08-30T09:58:19+00:00,
